,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount', 'trip_distance']",0.5803986117625851,0.6693031181627436,0.6634133721446875,0.47371205400512234,0.45678009820577503,0.3687883228725074,0.745133827652832,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['total_amount', 'fare_amount', 'trip_distance']",0.5829167217758296,0.6664618598272904,0.6604864155603825,0.4759475921979488,0.45645030685061705,0.3717503559245057,0.7432613977096483,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount']",0.5843686485505909,0.6652060569364754,0.6587929908813794,0.4756914807804262,0.4533932356636429,0.37100090194364743,0.7411102310672162,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['total_amount', 'fare_amount']",0.5864316841302125,0.6628368918793861,0.6563795665701981,0.4778344777237554,0.453670302246389,0.3737066823257694,0.7401710318025252,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['DOLocationID', 'total_amount', 'trip_distance']",0.6801333572578195,0.5364467521738767,0.5377975120425071,0.2895115028279671,0.5646331134012018,0.1603196934209236,0.9134704382353268,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['total_amount', 'trip_distance']",0.6809827446912746,0.5355514860229618,0.5366423440919813,0.2912143996881212,0.5636648680918215,0.16273270316663407,0.9109231008300332,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.6999279409163733,0.5063896331712274,0.5105021489033454,0.2201185716853829,0.6345140463187033,0.07516349607094219,1.025975019757002,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Simple Linear Regression,['total_amount'],0.7001624459511263,0.5062143724951982,0.5101740895888353,0.22457072391399385,0.629438865538058,0.08183695005329925,1.0154592989257678,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['DOLocationID', 'fare_amount', 'trip_distance']",0.7665678072703094,0.39732013402937294,0.41285511549143206,0.1252587104679609,0.5776700222440987,5.602922051242132e-05,0.9169477129618996,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['DOLocationID', 'fare_amount']",0.7667049944956206,0.3972520573641187,0.41264494234192006,0.136345641622394,0.5589584577088127,0.015028839791109272,0.8877864175993797,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Multiple Linear Regression,"['fare_amount', 'trip_distance']",0.7684537751029685,0.39474818827903413,0.4099624854307232,0.12388586188437989,0.5809661512735914,-0.00169836466753992,0.9216226120009972,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['fare_amount'],0.768515717439369,0.39472799529156744,0.4098673599295801,0.13468023576775912,0.5627540767848457,0.01272901453863895,0.8935003623168862,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['DOLocationID', 'trip_distance']",0.8104134154658873,0.33413748980771685,0.343768049568276,0.027015256722559,0.6233481411697517,-0.10944949191980298,0.9960363373642048,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['trip_distance'],0.815555303866429,0.3265975641294657,0.3354143479117544,0.01874974945825808,0.6357304356718532,-0.1199245763492259,1.0155930918636558,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['DOLocationID'],0.9411417773102861,0.1093947432027792,0.11497766203463866,0.06921210826437135,0.05814288393326784,0.0497178368916501,0.10609763909887902,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
